,alpha,random_state,tol
0.2663128793916032,0.01,38,0.001
0.26809891514696077,0.01,38,0.01
0.2657212526322737,0.01,38,0.1
0.2552967268925072,0.01,38,1.0
0.26628188223432686,0.01,39,0.0001
0.2664709307588741,0.01,39,0.001
0.26704313509608424,0.01,39,0.01
0.26627451328238894,0.01,40,0.0001
0.26648781609912575,0.01,40,0.001
0.2664160711013912,0.01,40,0.01
0.26627738400860484,0.01,41,0.0001
0.2663407550905221,0.01,41,0.001
0.26652093613116384,0.01,41,0.01
0.2684673081239097,0.01,41,0.1
0.2662801126287838,0.01,42,0.0001
0.2667016506322123,0.01,42,0.001
0.2668387411768762,0.01,42,0.01
0.2662500275209204,0.01,43,0.0001
0.2661241117741235,0.01,43,0.001
0.2666632449893856,0.01,43,0.01
0.26880293217107576,0.01,43,0.1
0.2662374298393843,0.01,44,0.0001
0.26619589092617435,0.01,44,0.001
0.26691635486879556,0.01,44,0.01
0.2662914680394547,0.01,45,0.0001
0.2664191321528214,0.01,45,0.001
0.26553991035800834,0.01,45,0.01
0.2672272186512978,0.01,45,0.1
0.26628482517521834,0.01,46,0.0001
0.26625627406260666,0.01,46,0.001
0.2644139755153452,0.01,46,0.01
0.2616404225641607,0.01,46,0.1
0.26630078672947527,0.01,47,0.0001
0.266664452181791,0.01,47,0.001
0.26689630271114684,0.01,47,0.01
0.26626515628191644,0.01,48,0.0001
0.26624911074144275,0.01,48,0.001
0.2663587352080543,0.01,48,0.01
0.2698653847867005,0.01,48,0.1
0.26626955208757286,0.01,49,0.0001
0.2662497290580469,0.01,49,0.001
0.2676307357505235,0.01,49,0.01
0.2663157935794625,0.01,50,0.0001
0.2665780126675846,0.01,50,0.001
0.26537345661737527,0.01,50,0.01
0.26074711930341027,0.01,50,0.1
0.25425767215554135,0.01,50,1.0
