,MAE,Model,Features
619,0.2582734441864917,NMF->RF,All_features
262,0.25827486405091954,NMF->RF,Theory_features
616,0.25827684063480605,RF,Theory_features
3587,0.25827703243297523,NMF->RF,All_features
639,0.2582787729832711,NMF->RF,All_features
679,0.2582824862818779,RF,Theory_features
2091,0.25828769825450554,NMF->RF,All_features
3775,0.258288844918014,NMF->RF,All_features
2422,0.2582912882042485,NMF->RF,All_features
1894,0.25829427058192383,NMF->RF,All_features
295,0.2582986391571954,RF,All_features
70,0.2583039560717152,NMF->DT (MF),Theory_features
936,0.2583044865467489,RF,Theory_features
2294,0.2583093702513191,NMF->RF,All_features
3295,0.2583205048112261,NMF->RF,All_features
2509,0.25832158174405856,NMF->RF,All_features
3554,0.25832658532966385,NMF->RF,All_features
1055,0.25832792209527583,RF,All_features
16,0.2583326326089828,RF,Theory_features
273,0.2583360305600213,NMF->DT (MF),All_features
3556,0.25834556181540835,NMF->RF,All_features
3792,0.2583646327401021,NMF->RF,All_features
3704,0.2583651990110617,NMF->RF,All_features
3406,0.2583763338272217,NMF->RF,All_features
49,0.25837823687599504,RF,Theory_features
1860,0.258383805427552,NMF->RF,All_features
186,0.25838400605609063,Lasso,All_features
402,0.258385031696012,RF,All_features
414,0.25838548752783397,RF,All_features
2891,0.25838674245324506,NMF->RF,All_features
802,0.25839524875450803,RF,All_features
596,0.25839594018766376,RF,Theory_features
1056,0.2583962820242122,RF,All_features
2042,0.2583963989367449,NMF->RF,All_features
836,0.2583973318210999,RF,Theory_features
650,0.2584033866774067,RF,All_features
852,0.2584072111831684,RF,All_features
56,0.2584152283049775,NMF->DT (MF),Theory_features
694,0.2584208609438082,RF,Theory_features
2970,0.2584242840619963,NMF->RF,All_features
2480,0.25842456628882204,NMF->RF,All_features
3218,0.2584248820877116,NMF->RF,All_features
614,0.25842569096717594,RF,All_features
572,0.2584268443146537,RF,Theory_features
369,0.25842848160353593,NMF->RF,All_features
2407,0.258434545528475,NMF->RF,All_features
1643,0.2584367574436331,NMF->RF,All_features
256,0.2584372594011291,NMF->RF,All_features
2133,0.2584384983240738,NMF->RF,All_features
2928,0.2584391009716065,NMF->RF,All_features
659,0.2584393250195981,RF,Theory_features
129,0.2584412076130981,RF,Theory_features
1762,0.2584627472187409,NMF->RF,All_features
3429,0.2584628284158552,NMF->RF,All_features
936,0.25846647448045473,RF,All_features
1421,0.25846669771825964,NMF->RF,All_features
597,0.25847261220749984,RF,Theory_features
3776,0.2584738723140682,NMF->RF,All_features
618,0.2584768584682057,RF,Theory_features
607,0.2584774445788858,RF,All_features
140,0.2584790463900917,Lasso,All_features
763,0.2584792056517236,RF,All_features
275,0.2584803499404306,RF,Theory_features
1040,0.2584862281106185,RF,All_features
3460,0.2584874205357134,NMF->RF,All_features
2176,0.2584877704819664,NMF->RF,All_features
2474,0.2584900036601466,NMF->RF,All_features
943,0.25849059583893536,NMF->RF,All_features
238,0.2584913646043073,RF,All_features
1803,0.2584917934326954,NMF->RF,All_features
70,0.25849578670272805,NMF->DT (MF),All_features
669,0.25849771361813434,RF,Theory_features
528,0.25850224893544405,RF,All_features
2225,0.2585109128160126,NMF->RF,All_features
1416,0.2585126186838397,NMF->RF,All_features
579,0.2585161100928817,RF,All_features
2246,0.2585161734464687,NMF->RF,All_features
1746,0.25851839443531033,NMF->RF,All_features
2223,0.2585230800096473,NMF->RF,All_features
500,0.25852410033698875,RF,All_features
2398,0.25852814238248845,NMF->RF,All_features
711,0.2585283472726072,NMF->RF,All_features
3784,0.2585292162703421,NMF->RF,All_features
1800,0.2585292363975742,NMF->RF,All_features
3009,0.258529318409376,NMF->RF,All_features
884,0.25852970465805303,RF,All_features
806,0.2585317802238378,RF,All_features
3431,0.2585464885347649,NMF->RF,All_features
2698,0.2585465144210448,NMF->RF,All_features
652,0.2585470138964713,RF,Theory_features
76,0.25854756940539075,RF,All_features
1205,0.2585508930058412,NMF->RF,All_features
1527,0.2585511179644166,NMF->RF,All_features
962,0.2585519169045241,NMF->RF,All_features
878,0.2585519520910227,RF,All_features
3757,0.2585536727443253,NMF->RF,All_features
666,0.2585594529308934,RF,Theory_features
67,0.25856210481480923,NMF->DT,All_features
1560,0.2585701808329697,NMF->RF,All_features
3400,0.2585707807911757,NMF->RF,All_features
3788,0.25857327620419823,NMF->RF,All_features
3392,0.2585736119275032,NMF->RF,All_features
3763,0.2585758361942121,NMF->RF,All_features
3405,0.2585769368947795,NMF->RF,All_features
458,0.2585769712063259,NMF->RF,All_features
64,0.25857745353852,RF,All_features
263,0.25858230827460466,NMF->DT (MF),All_features
1764,0.2585867173158944,NMF->RF,All_features
1135,0.2585903417307579,NMF->RF,All_features
825,0.25859837457381657,RF,All_features
3003,0.2586007902199877,NMF->RF,All_features
547,0.2586013931277653,RF,Theory_features
1616,0.25860196083999953,NMF->RF,All_features
1732,0.2586022070833719,NMF->RF,All_features
3331,0.2586135599367492,NMF->RF,All_features
3383,0.2586200998003713,NMF->RF,All_features
502,0.25862694269322084,NMF->RF,Theory_features
211,0.2586282114842795,RF,Theory_features
370,0.2586317248760614,RF,Theory_features
749,0.2586344467033468,NMF->RF,Theory_features
677,0.25864165169091186,NMF->DT (MF),All_features
2046,0.2586417221137944,NMF->RF,All_features
1642,0.2586427260849415,NMF->RF,All_features
700,0.25864428076363605,NMF->RF,Theory_features
1048,0.25864472105050296,NMF->RF,All_features
3488,0.2586467999117077,NMF->RF,All_features
106,0.2586471864365679,NMF->RF,Theory_features
20,0.25864730447095186,RF,Theory_features
3510,0.2586530594186861,NMF->RF,All_features
776,0.2586602101705473,RF,Theory_features
2181,0.2586602121860477,NMF->RF,All_features
939,0.2586613879488034,RF,All_features
248,0.2586626023025064,NMF->DT (MF),All_features
3655,0.258664016554029,NMF->RF,All_features
1983,0.2586658103936135,NMF->RF,All_features
1333,0.25866628728271873,NMF->RF,All_features
685,0.2586667147479169,RF,Theory_features
1043,0.2586685082012982,NMF->RF,All_features
149,0.2586687182546473,NMF->RF,All_features
692,0.2586709495054064,NMF->RF,Theory_features
1025,0.2586711103195292,NMF->RF,All_features
1231,0.2586715000154786,NMF->RF,All_features
2656,0.2586808992123329,NMF->RF,All_features
1640,0.2586810426353496,NMF->RF,All_features
881,0.2586867215393056,RF,All_features
285,0.2586902938566241,RF,Theory_features
2576,0.25869129557063936,NMF->RF,All_features
472,0.2586915363570763,NMF->RF,Theory_features
905,0.2586922851439727,RF,Theory_features
2889,0.2587010958427561,NMF->RF,All_features
2736,0.2587031323628797,NMF->RF,All_features
930,0.25870345889753193,NMF->RF,All_features
633,0.2587133391416092,RF,Theory_features
3027,0.25871497314002107,NMF->RF,All_features
1026,0.25872191440280634,RF,All_features
770,0.25872528632887953,RF,All_features
3291,0.2587321583784625,NMF->RF,All_features
1380,0.2587431230045613,NMF->RF,All_features
673,0.2587447121678343,NMF->DT (MF),All_features
3713,0.258745441730952,NMF->RF,All_features
119,0.2587490770851537,RF,All_features
2136,0.2587562422485597,NMF->RF,All_features
3155,0.25876017686737474,NMF->RF,All_features
24,0.25876325004580825,RF,All_features
1009,0.2587674852447217,RF,All_features
135,0.2587694815663942,RF,Theory_features
90,0.25877389495496383,RF,Theory_features
1521,0.2587811216612882,NMF->RF,All_features
307,0.2587814983685481,NMF->RF,All_features
66,0.2587840896113525,NMF->DT (MF),All_features
1852,0.2587890634426981,NMF->RF,All_features
3136,0.2587942860268985,NMF->RF,All_features
904,0.2587955241229589,RF,Theory_features
151,0.25879749297784194,RF,Theory_features
606,0.25880225465073514,RF,All_features
584,0.2588045174234305,RF,All_features
2892,0.2588051897343278,NMF->RF,All_features
1682,0.2588086432352126,NMF->RF,All_features
102,0.2588099479476973,NMF->DT,All_features
879,0.25881047659086603,RF,Theory_features
2861,0.25881099891241505,NMF->RF,All_features
3077,0.2588144015973925,NMF->RF,All_features
899,0.2588171394405826,NMF->RF,All_features
293,0.25882145010786795,NMF->RF,All_features
2654,0.2588238274795763,NMF->RF,All_features
3813,0.25882472626302755,NMF->RF,All_features
534,0.25882550856857256,RF,All_features
362,0.2588258959813503,NMF->DT (MF),All_features
700,0.2588286828953178,RF,All_features
2615,0.2588320822101577,NMF->RF,All_features
3,0.258833332718688,Lasso,All_features
2550,0.25883355382437284,NMF->RF,All_features
89,0.2588336457975832,NMF->RF,Theory_features
2058,0.2588357172180692,NMF->RF,All_features
2455,0.2588431335435556,NMF->RF,All_features
624,0.25885089450723336,RF,Theory_features
705,0.2588567956649129,RF,Theory_features
230,0.25885689721626703,NMF->RF,All_features
1985,0.2588592919029258,NMF->RF,All_features
328,0.25886166444670256,NMF->RF,All_features
1609,0.2588680441450713,NMF->RF,All_features
223,0.2588685531532252,NMF->DT (MF),All_features
356,0.25887349674516963,NMF->RF,All_features
2065,0.25888062956770896,NMF->RF,All_features
259,0.2588817055775129,RF,All_features
2233,0.2588839947924556,NMF->RF,All_features
247,0.25888443846291376,NMF->DT (MF),All_features
280,0.25888811436660664,RF,Theory_features
1005,0.2588898217204075,RF,All_features
54,0.2588954382968741,NMF->DT (MF),All_features
444,0.2588960909819333,RF,All_features
1512,0.25889743954221234,NMF->RF,All_features
3579,0.2589043589586966,NMF->RF,All_features
1200,0.2589110246870776,NMF->RF,All_features
354,0.2589132019419038,RF,Theory_features
360,0.2589132060197977,NMF->RF,All_features
872,0.2589133743639366,NMF->RF,All_features
1991,0.2589142721134853,NMF->RF,All_features
634,0.2589176226750673,NMF->RF,All_features
509,0.2589181300996805,NMF->RF,Theory_features
1625,0.25892095723513475,NMF->RF,All_features
1227,0.25892125892219936,NMF->RF,All_features
3478,0.2589248961178628,NMF->RF,All_features
3232,0.25892492587947746,NMF->RF,All_features
2877,0.25893757796051703,NMF->RF,All_features
2718,0.2589393635660402,NMF->RF,All_features
947,0.2589394229475934,RF,Theory_features
598,0.2589410163175869,NMF->RF,Theory_features
1401,0.25894217524252056,NMF->RF,All_features
886,0.2589448993308948,RF,All_features
405,0.2589457805849979,RF,Theory_features
729,0.2589477397466779,RF,All_features
2228,0.25894887446015546,NMF->RF,All_features
244,0.2589505500376336,NMF->RF,All_features
297,0.2589536789917064,NMF->RF,All_features
3014,0.25895398422439514,NMF->RF,All_features
1927,0.2589553015036211,NMF->RF,All_features
3403,0.2589557065281913,NMF->RF,All_features
577,0.2589605533163601,RF,All_features
3133,0.25896141024228503,NMF->RF,All_features
2570,0.2589623966637662,NMF->RF,All_features
1481,0.2589646806717266,NMF->RF,All_features
967,0.25896513061414234,NMF->RF,All_features
846,0.2589662287145975,RF,All_features
130,0.25897061246076425,RF,All_features
456,0.2589708714545876,NMF->DT (MF),All_features
749,0.25897757529414955,RF,Theory_features
3,0.2589834042628215,NMF->DT (MF),Theory_features
758,0.2589885730117801,RF,Theory_features
617,0.2589930080894693,NMF->RF,All_features
630,0.2589934796628165,RF,Theory_features
516,0.25899450262317314,NMF->DT (MF),All_features
3678,0.2589956711588919,NMF->RF,All_features
981,0.2590049651878373,RF,All_features
506,0.2590095740287552,NMF->RF,All_features
17,0.2590101774042951,DT (MF),Theory_features
724,0.25901409604000664,RF,Theory_features
3100,0.25901567023845823,NMF->RF,All_features
149,0.2590163666442516,RF,Theory_features
526,0.2590172047221536,RF,Theory_features
594,0.2590197718762332,NMF->RF,All_features
480,0.2590214255527101,RF,All_features
994,0.25902365225145985,RF,All_features
1276,0.2590250989127217,NMF->RF,All_features
2232,0.25903152266196383,NMF->RF,All_features
1072,0.2590352337382967,NMF->RF,All_features
541,0.2590357192648317,RF,All_features
418,0.259036469350507,NMF->RF,All_features
3384,0.2590385909669924,NMF->RF,All_features
3490,0.2590388133092752,NMF->RF,All_features
854,0.25903984741135105,NMF->RF,All_features
3758,0.25904236743104997,NMF->RF,All_features
1784,0.2590471972329469,NMF->RF,All_features
423,0.2590482603273717,RF,All_features
52,0.2590487136926225,RF,All_features
2035,0.2590496642005604,NMF->RF,All_features
774,0.2590515786477722,RF,All_features
772,0.2590527237561065,RF,Theory_features
1103,0.25905353676616305,NMF->RF,All_features
1119,0.2590575552508805,NMF->RF,All_features
677,0.2590598072231512,RF,Theory_features
71,0.25906128853985944,NMF->DT (MF),Theory_features
199,0.25906151042216463,RF,All_features
29,0.259063191943444,DT (MF),Theory_features
791,0.2590648201867508,RF,Theory_features
1553,0.2590666718553078,NMF->RF,All_features
451,0.25906781084194325,NMF->RF,Theory_features
595,0.259073067912836,NMF->RF,All_features
1873,0.2590762430949997,NMF->RF,All_features
511,0.2590834291379092,RF,Theory_features
2579,0.2590847079438623,NMF->RF,All_features
1014,0.2590853903557571,NMF->RF,All_features
2562,0.25908539790985824,NMF->RF,All_features
2912,0.2590896705891853,NMF->RF,All_features
1194,0.2590930348041873,NMF->RF,All_features
2087,0.2590940541015767,NMF->RF,All_features
819,0.25909456843222434,RF,All_features
3423,0.2590972582043728,NMF->RF,All_features
997,0.2590982869224937,RF,All_features
3267,0.2591044089235359,NMF->RF,All_features
3452,0.2591107469997188,NMF->RF,All_features
784,0.2591120642045655,RF,Theory_features
98,0.2591131260834197,NMF->RF,All_features
573,0.25911585516051583,RF,Theory_features
1974,0.2591249694217703,NMF->RF,All_features
1483,0.2591267959902377,NMF->RF,All_features
3807,0.25912743037769825,NMF->RF,All_features
593,0.2591278973075166,RF,Theory_features
1060,0.25913796895121194,NMF->RF,All_features
567,0.2591396050323474,NMF->RF,Theory_features
189,0.2591407534331597,RF,All_features
3375,0.2591465233585289,NMF->RF,All_features
493,0.2591478882590842,NMF->RF,All_features
3395,0.2591483905231595,NMF->RF,All_features
190,0.2591494500458766,RF,All_features
2997,0.2591501462002352,NMF->RF,All_features
124,0.25915045761726274,NMF->RF,All_features
3517,0.2591530812142548,NMF->RF,All_features
2113,0.25915437188998863,NMF->RF,All_features
1026,0.2591566368673585,NMF->RF,All_features
481,0.2591650106218385,RF,All_features
913,0.259167642760588,NMF->RF,All_features
760,0.2591707117414109,RF,Theory_features
846,0.25917148210746666,NMF->RF,All_features
3411,0.2591726776586031,NMF->RF,All_features
575,0.2591754883224014,NMF->RF,Theory_features
1568,0.25917806707108265,NMF->RF,All_features
430,0.25918113708817914,RF,All_features
489,0.25918190930894475,RF,All_features
1178,0.25918277047942656,NMF->RF,All_features
2960,0.2591863046635567,NMF->RF,All_features
2693,0.2591885961149455,NMF->RF,All_features
1975,0.2591927811187178,NMF->RF,All_features
3530,0.2591955999776206,NMF->RF,All_features
510,0.25919939579700285,RF,Theory_features
1574,0.2592040115055371,NMF->RF,All_features
1707,0.2592172316980693,NMF->RF,All_features
348,0.2592189538884242,NMF->RF,All_features
2247,0.2592219368563667,NMF->RF,All_features
457,0.2592234842980101,RF,All_features
2800,0.2592244085001747,NMF->RF,All_features
628,0.2592266006913805,RF,All_features
3512,0.2592270386821637,NMF->RF,All_features
863,0.25923346410270875,NMF->RF,Theory_features
1372,0.2592360111847259,NMF->RF,All_features
3298,0.2592423584867056,NMF->RF,All_features
3270,0.2592443620469099,NMF->RF,All_features
3793,0.2592446494005485,NMF->RF,All_features
324,0.25925021961638023,NMF->RF,All_features
2647,0.2592526782942239,NMF->RF,All_features
1042,0.25925296305594764,RF,All_features
642,0.25925309156153953,RF,Theory_features
334,0.2592535418369557,NMF->RF,All_features
3695,0.2592550235180796,NMF->RF,All_features
623,0.2592554818985111,RF,All_features
350,0.2592557044296013,RF,Theory_features
1153,0.2592573135298974,NMF->RF,All_features
318,0.2592577431933013,RF,All_features
399,0.25926730942907883,NMF->RF,Theory_features
1050,0.2592687950481654,RF,All_features
2116,0.2592694216154801,NMF->RF,All_features
29,0.2592707627209085,RF,All_features
354,0.2592725944962259,RF,All_features
409,0.25927436270785964,RF,Theory_features
1404,0.2592756685864854,NMF->RF,All_features
140,0.2592846056661721,NMF->RF,Theory_features
674,0.2592952946422541,RF,Theory_features
1,0.25929611952988785,DT (MF),Theory_features
989,0.25929754433725016,RF,All_features
442,0.2592976898751028,NMF->RF,All_features
87,0.2593022065565987,RF,Theory_features
3553,0.2593046769793365,NMF->RF,All_features
331,0.2593093262387561,NMF->DT (MF),All_features
3398,0.2593095262987404,NMF->RF,All_features
942,0.2593149064099964,RF,Theory_features
55,0.25932072703783643,RF,Theory_features
1383,0.2593223654392268,NMF->RF,All_features
390,0.2593249703807359,NMF->RF,Theory_features
3778,0.2593252532553741,NMF->RF,All_features
3281,0.25932667299706,NMF->RF,All_features
2169,0.25932824806731003,NMF->RF,All_features
3781,0.25932915688707986,NMF->RF,All_features
377,0.25933012229709224,RF,All_features
1078,0.259330147208173,NMF->RF,All_features
567,0.25933105931254824,RF,All_features
720,0.2593314417018908,NMF->RF,Theory_features
890,0.2593326490284832,RF,Theory_features
3214,0.2593355325948082,NMF->RF,All_features
385,0.25933878075876965,NMF->DT (MF),All_features
196,0.25933995403452,RF,Theory_features
263,0.2593400597128104,NMF->RF,All_features
296,0.2593421004764522,RF,Theory_features
3808,0.2593475876379454,NMF->RF,All_features
506,0.2593491461541909,NMF->RF,Theory_features
485,0.25935287505283205,RF,All_features
3799,0.2593535644444306,NMF->RF,All_features
272,0.2593586341070038,NMF->DT (MF),All_features
3697,0.25935954754684715,NMF->RF,All_features
3203,0.2593607396201931,NMF->RF,All_features
634,0.2593613554665665,NMF->DT (MF),All_features
178,0.25936148720350705,NMF->RF,All_features
1511,0.25936319522542245,NMF->RF,All_features
3727,0.2593643119072732,NMF->RF,All_features
3726,0.2593679722776136,NMF->RF,All_features
192,0.25937031349539885,NMF->RF,All_features
3104,0.2593745284926999,NMF->RF,All_features
125,0.2593746366506087,RF,Theory_features
2241,0.25937697927363085,NMF->RF,All_features
2691,0.2593792597328621,NMF->RF,All_features
68,0.25938137651912585,NMF->DT,All_features
1136,0.2593847295079695,NMF->RF,All_features
747,0.2593850548562017,RF,Theory_features
315,0.2593854023224437,NMF->RF,All_features
509,0.2593863389468391,NMF->RF,All_features
2684,0.2593873420317888,NMF->RF,All_features
2397,0.25939186925489577,NMF->RF,All_features
139,0.25939612224220154,NMF->RF,Theory_features
2543,0.25939920388532683,NMF->RF,All_features
228,0.2594007009768015,NMF->RF,All_features
112,0.25940121880452555,RF,All_features
2597,0.2594027202126267,NMF->RF,All_features
843,0.25940680111384523,RF,Theory_features
637,0.25940798328708403,NMF->RF,All_features
2142,0.25940826426001645,NMF->RF,All_features
794,0.2594093939708637,RF,Theory_features
561,0.2594120266517257,NMF->RF,All_features
1332,0.2594129810768997,NMF->RF,All_features
880,0.2594137266152783,RF,Theory_features
187,0.2594161071520735,RF,All_features
1399,0.2594242223478868,NMF->RF,All_features
710,0.2594286083393874,RF,All_features
460,0.2594294836179388,RF,Theory_features
3689,0.2594305402479921,NMF->RF,All_features
1929,0.259432114295187,NMF->RF,All_features
112,0.2594357254382939,NMF->RF,All_features
3624,0.2594360639895497,NMF->RF,All_features
3602,0.2594380515623538,NMF->RF,All_features
337,0.2594402884305585,RF,All_features
341,0.25944082040911776,RF,Theory_features
945,0.25944164466598085,NMF->RF,All_features
2596,0.2594455227451635,NMF->RF,All_features
675,0.2594470356354144,RF,All_features
1084,0.2594484585644274,NMF->RF,All_features
988,0.25945026268473553,RF,All_features
1187,0.2594514118275191,NMF->RF,All_features
369,0.25945187787260937,NMF->DT (MF),All_features
627,0.25945294131723684,RF,Theory_features
2899,0.25945371852098353,NMF->RF,All_features
2273,0.2594673153713451,NMF->RF,All_features
1377,0.25947057592691736,NMF->RF,All_features
3656,0.25947378899205115,NMF->RF,All_features
1247,0.25947933227229897,NMF->RF,All_features
173,0.2594808793026924,NMF->RF,All_features
3271,0.2594833481448516,NMF->RF,All_features
3640,0.2594845581242697,NMF->RF,All_features
353,0.2594874622956499,NMF->RF,All_features
1776,0.2594912303996173,NMF->RF,All_features
654,0.2594954446532595,RF,All_features
667,0.2595020302969292,NMF->DT (MF),All_features
613,0.25950606571899953,RF,Theory_features
3070,0.2595115089923416,NMF->RF,All_features
157,0.25951175869627713,RF,All_features
3212,0.2595139646704804,NMF->RF,All_features
218,0.25951815811024465,NMF->RF,All_features
815,0.25952139166154464,NMF->RF,Theory_features
760,0.2595245569240739,RF,All_features
550,0.2595249329188973,NMF->DT (MF),All_features
2028,0.2595259316796005,NMF->RF,All_features
281,0.2595261953496902,RF,Theory_features
490,0.2595284426840136,NMF->RF,All_features
175,0.2595334568809296,RF,Theory_features
1145,0.2595377239512651,NMF->RF,All_features
398,0.2595389356002501,RF,Theory_features
802,0.2595441762749368,NMF->RF,Theory_features
315,0.2595500264277795,RF,Theory_features
1546,0.2595554723221694,NMF->RF,All_features
12,0.25955908031471164,RF,Theory_features
240,0.25956510039735164,NMF->RF,All_features
755,0.2595653934161592,RF,Theory_features
3620,0.25956594904080266,NMF->RF,All_features
2610,0.25956687500923725,NMF->RF,All_features
1503,0.2595677761111118,NMF->RF,All_features
3173,0.2595690596538993,NMF->RF,All_features
3610,0.25957257636221337,NMF->RF,All_features
336,0.2595783271419034,RF,Theory_features
1925,0.2595794057763991,NMF->RF,All_features
1193,0.2595824797344476,NMF->RF,All_features
44,0.2595836661947712,RF,Theory_features
438,0.2595840734521677,NMF->RF,Theory_features
662,0.2595856351961074,NMF->DT (MF),All_features
199,0.2595858539468747,NMF->RF,Theory_features
858,0.25958896336394993,RF,All_features
1304,0.2595921131546113,NMF->RF,All_features
1715,0.25959625683418924,NMF->RF,All_features
36,0.2596086379557421,NMF->RF,Theory_features
543,0.2596125747895625,RF,Theory_features
1285,0.2596196028231004,NMF->RF,All_features
2208,0.2596217955806687,NMF->RF,All_features
398,0.2596257084121005,RF,All_features
834,0.2596352954847808,RF,All_features
1418,0.2596468414916577,NMF->RF,All_features
757,0.2596507619805448,RF,Theory_features
629,0.2596531344209578,RF,Theory_features
343,0.2596623472886672,NMF->DT (MF),All_features
3648,0.2596630681586272,NMF->RF,All_features
83,0.2596670908048401,NMF->DT,All_features
2850,0.25966746939987034,NMF->RF,All_features
8,0.2596716014167528,NMF->RF,All_features
1782,0.2596722498771719,NMF->RF,All_features
974,0.2596744257131152,NMF->RF,All_features
3029,0.2596795225767983,NMF->RF,All_features
1577,0.25968207653896663,NMF->RF,All_features
662,0.2596837004178232,RF,Theory_features
1941,0.2596843924284097,NMF->RF,All_features
3102,0.25968728003650626,NMF->RF,All_features
522,0.25968775858075793,NMF->DT (MF),All_features
1431,0.25968895740812675,NMF->RF,All_features
785,0.2596928672972186,NMF->RF,Theory_features
999,0.2596987467052889,NMF->RF,All_features
184,0.25969903212136125,RF,All_features
482,0.2597040693024087,NMF->RF,All_features
470,0.25971163810395864,NMF->RF,Theory_features
329,0.2597123413912355,NMF->RF,All_features
477,0.25971274337443506,NMF->DT (MF),All_features
869,0.259719005590434,RF,All_features
533,0.2597230420637328,RF,All_features
314,0.2597239301213449,NMF->RF,Theory_features
2878,0.2597249470591935,NMF->RF,All_features
437,0.2597261021583813,RF,Theory_features
817,0.2597306968646573,RF,All_features
871,0.2597309222028585,RF,All_features
3787,0.2597325367454558,NMF->RF,All_features
1823,0.2597329506217228,NMF->RF,All_features
544,0.2597348455877998,RF,All_features
1115,0.2597382633226436,NMF->RF,All_features
1694,0.259742803532506,NMF->RF,All_features
130,0.25974405576338144,NMF->DT (MF),All_features
47,0.2597463648913961,RF,All_features
3090,0.2597502891349458,NMF->RF,All_features
2390,0.2597517446670598,NMF->RF,All_features
2967,0.2597525231643314,NMF->RF,All_features
569,0.2597532264704653,NMF->RF,Theory_features
892,0.259757475522858,RF,All_features
3284,0.259761286627631,NMF->RF,All_features
93,0.2597619064287915,RF,All_features
490,0.2597642804564495,RF,Theory_features
619,0.2597676892269625,RF,All_features
2324,0.2597677366047733,NMF->RF,All_features
1007,0.2597695688054624,NMF->RF,All_features
848,0.25977007954560344,RF,All_features
165,0.25977393543329474,RF,Theory_features
2703,0.25977792982888565,NMF->RF,All_features
564,0.2597801172313625,NMF->RF,Theory_features
2672,0.2597807453684668,NMF->RF,All_features
29,0.2597858002929145,RF,Theory_features
481,0.2597878083288425,NMF->RF,All_features
507,0.25978877895740554,RF,All_features
3666,0.25978998249861457,NMF->RF,All_features
3296,0.25979032591099865,NMF->RF,All_features
2,0.25979095858516515,NMF->DT (MF),All_features
377,0.2597913758223737,RF,Theory_features
1051,0.2597961067206907,RF,All_features
170,0.2597963047584375,NMF->RF,All_features
3475,0.2597981670953605,NMF->RF,All_features
1006,0.2597990309635553,NMF->RF,All_features
894,0.259802266267621,RF,Theory_features
2200,0.25980349918414475,NMF->RF,All_features
1070,0.25980471517217496,RF,All_features
219,0.2598048577697529,RF,Theory_features
306,0.2598064348038793,NMF->DT (MF),All_features
536,0.25980649167395004,NMF->DT (MF),All_features
109,0.25980688206573144,NMF->RF,All_features
2612,0.25980985688006464,NMF->RF,All_features
465,0.2598134203194962,NMF->RF,Theory_features
1517,0.2598189573369681,NMF->RF,All_features
3415,0.2598277700601145,NMF->RF,All_features
501,0.2598281188990748,NMF->DT (MF),All_features
565,0.2598297832802127,RF,Theory_features
96,0.2598321378525387,NMF->DT (MF),All_features
156,0.2598330853277005,NMF->RF,All_features
46,0.2598382651385199,RF,All_features
3101,0.2598414096136093,NMF->RF,All_features
2396,0.259842247369995,NMF->RF,All_features
532,0.25984248708341345,RF,Theory_features
273,0.2598446548536144,RF,All_features
1506,0.25984474448796163,NMF->RF,All_features
3142,0.2598474400173709,NMF->RF,All_features
679,0.2598480597413257,NMF->RF,Theory_features
631,0.2598493735893094,RF,All_features
1150,0.2598510582839646,NMF->RF,All_features
805,0.25985448181352017,RF,All_features
1850,0.259855712062401,NMF->RF,All_features
946,0.25985599588709457,RF,Theory_features
2456,0.2598606185806862,NMF->RF,All_features
1783,0.2598618151508553,NMF->RF,All_features
501,0.2598665105964393,RF,Theory_features
3696,0.2598682726402988,NMF->RF,All_features
375,0.2598689931575076,RF,All_features
709,0.2598745256091438,RF,All_features
1105,0.25988207476907105,NMF->RF,All_features
293,0.2598828663274784,NMF->DT (MF),All_features
128,0.25988593525020803,RF,All_features
73,0.2598862950048879,RF,All_features
436,0.259886707252264,NMF->DT (MF),All_features
305,0.2598894675215205,RF,All_features
2641,0.25989051958710946,NMF->RF,All_features
2276,0.25989077007643313,NMF->RF,All_features
811,0.25989121141722643,NMF->RF,All_features
480,0.2598933753792281,NMF->RF,All_features
855,0.2598968110862184,RF,All_features
471,0.2598983871913413,RF,All_features
464,0.2599028968138546,NMF->DT (MF),All_features
742,0.2599045067101965,NMF->RF,All_features
737,0.2599154562709113,RF,All_features
573,0.259916238535608,NMF->RF,All_features
1933,0.25991774762086234,NMF->RF,All_features
360,0.2599196685044929,RF,All_features
375,0.2599214746260717,RF,Theory_features
1635,0.2599227021227318,NMF->RF,All_features
1904,0.25992278671870983,NMF->RF,All_features
439,0.2599231958633997,RF,All_features
1132,0.2599250313969733,NMF->RF,All_features
491,0.2599255627562672,NMF->RF,All_features
2235,0.25993259481459896,NMF->RF,All_features
983,0.2599343361110635,RF,All_features
751,0.25993682602945645,NMF->RF,Theory_features
837,0.25993807329296664,NMF->RF,All_features
152,0.2599403231188475,NMF->RF,All_features
784,0.25994332408939386,NMF->RF,All_features
310,0.2599513041316098,RF,All_features
173,0.2599523722939539,NMF->DT (MF),All_features
808,0.25995390393223644,RF,Theory_features
2442,0.25995519014063884,NMF->RF,All_features
32,0.259958201319682,RF,Theory_features
361,0.2599586474456793,RF,Theory_features
1222,0.2599619062604755,NMF->RF,All_features
515,0.2599691149023705,RF,Theory_features
668,0.25997535772953984,RF,Theory_features
1017,0.25997560999051955,NMF->RF,All_features
979,0.25997611562117284,RF,All_features
1036,0.2599799254974398,NMF->RF,All_features
1443,0.2599819151636709,NMF->RF,All_features
1613,0.2599827384908712,NMF->RF,All_features
3210,0.259984313151816,NMF->RF,All_features
