,max_depth,max_features,min_samples_split,n_estimators,random_state
0.2600168474402827,3,0.3,2,50,1
0.2655913526212508,3,0.3,2,50,2
0.2664766955814287,3,0.3,2,50,3
0.2634985411096404,3,0.3,2,50,4
0.2567265078727182,3,0.3,2,50,5
0.26158651724029475,3,0.3,2,50,6
0.26608990373656943,3,0.3,2,50,7
0.2621176843517811,3,0.3,2,50,8
0.26064099101811355,3,0.3,2,50,9
0.26118087622264563,3,0.3,2,50,10
0.26418556181986413,3,0.3,2,50,11
0.2570899336175632,3,0.3,2,50,12
0.25274771283534436,3,0.3,2,50,13
0.2655769348296169,3,0.3,2,50,14
0.2652907593508207,3,0.3,2,50,15
0.26161416640604773,3,0.3,2,50,16
0.26708554445877813,3,0.3,2,50,17
0.26511571971791253,3,0.3,2,50,18
0.2668289592230063,3,0.3,2,50,19
0.2581563302814715,3,0.3,2,50,20
0.26289875567561705,3,0.3,2,50,22
0.26575655599653536,3,0.3,2,50,23
0.25462636740973765,3,0.3,2,50,24
0.2625137116699061,3,0.3,2,50,25
0.25876325004580825,3,0.3,2,50,26
0.2580395306317883,3,0.3,2,50,27
0.25690169549398956,3,0.3,2,50,28
0.264887288780938,3,0.3,2,50,29
0.2669670697884581,3,0.3,2,50,30
0.2592707627209085,3,0.3,2,50,31
0.26590943767973546,3,0.3,2,50,32
0.2624064753949514,3,0.3,2,50,33
0.2613960515979523,3,0.3,2,50,34
0.2615161020535917,3,0.3,2,50,35
0.264831248065339,3,0.3,2,50,36
0.25693724295617687,3,0.3,2,50,37
0.257222457039808,3,0.3,2,50,38
0.2637038050934634,3,0.3,2,50,40
0.26648428334726015,3,0.3,2,50,42
0.25249367270764705,3,0.3,2,50,43
0.26127737409580554,3,0.3,2,50,44
0.2650885403532447,3,0.3,2,50,45
0.2603372921582791,3,0.3,2,50,46
0.26444474540326485,3,0.3,2,50,47
0.2647093931673454,3,0.3,2,50,48
0.261844705758075,3,0.3,2,50,49
0.2598382651385199,3,0.3,2,50,50
0.2597463648913961,3,0.3,2,60,1
0.26315088035205825,3,0.3,2,60,2
0.26763524226196367,3,0.3,2,60,3
0.26532392450091774,3,0.3,2,60,4
0.2552943291437107,3,0.3,2,60,5
0.2590487136926225,3,0.3,2,60,6
0.26734149595106893,3,0.3,2,60,7
0.26198398688431906,3,0.3,2,60,8
0.26225131545225594,3,0.3,2,60,9
0.25723806334065463,3,0.3,2,60,10
0.26196439665281074,3,0.3,2,60,11
0.2548314329569087,3,0.3,2,60,12
0.253583846639059,3,0.3,2,60,13
0.26251724279039107,3,0.3,2,60,14
0.2672247962408318,3,0.3,2,60,15
0.26030036378086274,3,0.3,2,60,16
0.26753288902505307,3,0.3,2,60,17
0.25857745353851996,3,0.3,2,60,18
0.2661595064170608,3,0.3,2,60,19
0.2577653276729407,3,0.3,2,60,20
0.2623610959845421,3,0.3,2,60,22
0.26278696198439466,3,0.3,2,60,23
0.25688009157132136,3,0.3,2,60,24
0.2634950498811146,3,0.3,2,60,25
0.25512707578445404,3,0.3,2,60,26
0.2552153475574555,3,0.3,2,60,27
0.2598862950048879,3,0.3,2,60,28
0.2638803820534709,3,0.3,2,60,29
0.2656056276115962,3,0.3,2,60,30
0.25854756940539075,3,0.3,2,60,31
0.2658779093424476,3,0.3,2,60,32
0.26177565888925425,3,0.3,2,60,33
0.2641537882113601,3,0.3,2,60,34
0.263687791354624,3,0.3,2,60,35
0.26376223769921087,3,0.3,2,60,36
0.2554857531271646,3,0.3,2,60,37
0.2581540757893967,3,0.3,2,60,38
0.2683595381106049,3,0.3,2,60,39
0.26376533102733846,3,0.3,2,60,40
0.2637619870637397,3,0.3,2,60,42
0.25472430079118535,3,0.3,2,60,43
0.26072282800286206,3,0.3,2,60,44
0.2644346065418093,3,0.3,2,60,45
0.2607421091956743,3,0.3,2,60,46
0.2600439459446797,3,0.3,2,60,47
0.2620521913707084,3,0.3,2,60,48
0.2597619064287915,3,0.3,2,60,49
0.2616340693674452,3,0.3,2,60,50
0.2618274400494537,3,0.3,3,50,1
0.26455496293984226,3,0.3,3,50,2
0.2611534635785286,3,0.3,3,50,3
0.2614722504185402,3,0.3,3,50,4
0.25735367018552835,3,0.3,3,50,5
0.2652621731781733,3,0.3,3,50,6
0.2649718611163698,3,0.3,3,50,7
0.2613974345171338,3,0.3,3,50,8
0.2613956823517191,3,0.3,3,50,9
0.25731063896184475,3,0.3,3,50,10
0.26503842545364825,3,0.3,3,50,11
0.2579421017378314,3,0.3,3,50,12
0.25410360254036346,3,0.3,3,50,13
0.2660491720880465,3,0.3,3,50,14
0.2616922734956801,3,0.3,3,50,15
0.2614114012691778,3,0.3,3,50,16
0.26579734835395674,3,0.3,3,50,17
0.25940121880452555,3,0.3,3,50,18
0.26833441745909864,3,0.3,3,50,19
0.25791091453799675,3,0.3,3,50,20
0.26393231038900594,3,0.3,3,50,22
0.26596163301376186,3,0.3,3,50,23
0.25249137976644515,3,0.3,3,50,24
0.2633173562160345,3,0.3,3,50,25
0.2587490770851537,3,0.3,3,50,26
0.2575972298005307,3,0.3,3,50,27
0.2582145137208737,3,0.3,3,50,28
0.2651920999392401,3,0.3,3,50,29
0.2619860093244257,3,0.3,3,50,30
0.25493680769608407,3,0.3,3,50,31
0.2671946612447695,3,0.3,3,50,32
0.26098411138119393,3,0.3,3,50,33
0.26375737024495577,3,0.3,3,50,34
0.25988593525020803,3,0.3,3,50,35
0.2662033864122669,3,0.3,3,50,36
0.25897061246076425,3,0.3,3,50,37
0.25758600614282684,3,0.3,3,50,38
0.26320071288218877,3,0.3,3,50,40
0.26605620122431467,3,0.3,3,50,42
0.2525423201780085,3,0.3,3,50,43
0.26128817656510084,3,0.3,3,50,44
0.26609444178621733,3,0.3,3,50,45
0.2553643480282842,3,0.3,3,50,46
0.26403001596426445,3,0.3,3,50,47
0.26687841577240956,3,0.3,3,50,48
0.26187125052111143,3,0.3,3,50,49
0.2576526031518657,3,0.3,3,50,50
0.26091218654017345,3,0.3,3,60,1
0.26024571002536995,3,0.3,3,60,2
0.2634652869697841,3,0.3,3,60,3
0.2616485864411335,3,0.3,3,60,4
0.25640286504158316,3,0.3,3,60,5
0.2608943562774811,3,0.3,3,60,6
0.26652848342206303,3,0.3,3,60,7
