,dt__max_depth,dt__max_features,dt__min_samples_split,dt__random_state,nmf__alpha,nmf__n_components,nmf__solver
0.2629484391080391,3,0.7,2,8,2.0,5,cd
0.26612442497724226,3,0.7,2,9,2.0,6,cd
0.2693758335681167,3,0.7,2,11,2.0,6,cd
0.2468906745121838,3,0.7,2,12,2.0,6,cd
0.2691204224688084,3,0.7,3,17,2.0,6,cd
0.2669525548551038,3,0.7,2,25,1.0,5,cd
0.2480052787650956,3,0.7,2,25,1.0,7,cd
0.26519420775055574,3,0.7,2,29,1.0,6,cd
0.2658107199050238,3,0.7,3,29,1.0,7,cd
0.2678355823783052,3,0.7,3,30,2.0,5,cd
0.23923720960628161,3,0.7,4,30,2.0,6,cd
0.2697543249210608,3,0.7,4,31,1.0,7,cd
0.2669956157141885,3,0.7,3,35,1.0,6,cd
0.26779056801481793,3,0.7,2,39,2.0,5,cd
0.26318827060812977,3,0.7,3,40,1.0,7,cd
0.26052589360396244,3,0.7,3,40,2.0,6,cd
0.2620670003228267,3,0.7,2,45,2.0,6,cd
0.26904390911535286,3,0.7,2,50,1.0,5,cd
0.25703986643622967,3,0.7,3,3,1.0,6,cd
0.2649529964058137,3,0.7,3,9,2.0,6,cd
0.2467703900347565,3,0.7,3,12,2.0,6,cd
0.26676202002048033,3,0.7,4,25,1.0,5,cd
0.25513442648598217,3,0.7,3,25,1.0,7,cd
0.2649202342793282,3,0.7,3,29,1.0,6,cd
0.24202292389199584,3,0.7,3,30,2.0,6,cd
0.2684723861966361,3,0.7,3,39,2.0,5,cd
0.2602565024021793,3,0.7,3,45,2.0,6,cd
0.2697998614963053,3,0.7,3,50,1.0,5,cd
0.2581409149060155,3,0.7,4,3,1.0,6,cd
0.2684445628928168,3,0.7,4,8,2.0,5,cd
0.263532685664385,3,0.7,4,9,2.0,6,cd
0.2422026665167779,3,0.7,4,12,2.0,6,cd
0.25974405576338144,3,0.7,4,25,1.0,7,cd
0.2699122066604846,3,0.7,4,29,1.0,6,cd
0.26726415380687657,3,0.7,4,30,2.0,5,cd
0.26837529662994114,3,0.7,4,35,1.0,6,cd
0.26513420358198286,3,0.7,4,39,2.0,5,cd
0.2541927963710425,3,0.7,4,40,2.0,6,cd
0.26783281175217183,3,0.7,4,42,2.0,6,cd
0.25511120325688014,3,0.7,4,45,2.0,6,cd
0.268991482322804,3,0.7,4,46,2.0,5,cd
0.2679752939070318,3,0.7,4,50,1.0,5,cd
0.2653397261980482,4,0.3,2,3,2.0,7,cd
0.25110267291500826,4,0.3,2,5,1.0,5,cd
0.25750412843921494,4,0.3,2,6,0.5,7,cd
0.2640299454113206,4,0.3,2,10,1.0,6,cd
0.26283914066195446,4,0.3,2,14,2.0,5,cd
0.26958024071233205,4,0.3,2,22,2.0,7,cd
0.26828586150419087,4,0.3,2,27,0.5,7,cd
0.268429100802508,4,0.3,2,27,1.0,7,cd
0.2643177569131643,4,0.3,2,27,2.0,6,cd
0.2667528803132656,4,0.3,2,29,1.0,5,cd
0.2674998028577668,4,0.3,2,30,1.0,7,cd
0.2687915849284517,4,0.3,2,32,0.5,5,cd
0.268431754501884,4,0.3,2,33,2.0,7,cd
0.26892032680833555,4,0.3,2,40,1.0,7,cd
0.2637532270420718,4,0.3,2,40,2.0,7,cd
0.2661180876074394,4,0.3,2,41,1.0,6,cd
0.2686594182909171,4,0.3,2,41,1.0,7,cd
0.2554200222770539,4,0.3,2,41,2.0,7,cd
0.2684865254962649,4,0.3,2,47,2.0,7,cd
0.26705275593323174,4,0.3,2,48,2.0,5,cd
0.2607418237228981,4,0.3,2,50,1.0,5,cd
0.24876566621759244,4,0.3,3,5,1.0,5,cd
0.26536467265690206,4,0.3,3,6,0.5,7,cd
0.2689789309730763,4,0.3,3,9,1.0,5,cd
0.26482804160350537,4,0.3,3,10,1.0,6,cd
0.26765468703429307,4,0.3,3,12,1.0,6,cd
0.2693171765169682,4,0.3,3,17,0.5,5,cd
0.2687435949576658,4,0.3,3,17,2.0,6,cd
0.2661507685891293,4,0.3,3,18,2.0,7,cd
0.26881354267627255,4,0.3,3,25,2.0,6,cd
0.2641479145973606,4,0.3,3,27,0.5,7,cd
0.2648579609568776,4,0.3,3,27,2.0,6,cd
0.26902201352576427,4,0.3,3,28,0.5,6,cd
0.2599523722939539,4,0.3,3,29,1.0,5,cd
0.26365820653577615,4,0.3,3,32,1.0,6,cd
0.24820703869956745,4,0.3,3,34,1.0,7,cd
0.2640202744373421,4,0.3,3,41,1.0,6,cd
0.2681518992150588,4,0.3,3,46,1.0,5,cd
0.26383405955957745,4,0.3,3,47,2.0,7,cd
0.2627626128388358,4,0.3,3,48,1.0,5,cd
0.26950495193187823,4,0.3,4,5,1.0,5,cd
0.2655354534360572,4,0.3,4,6,0.5,7,cd
0.26476524605622975,4,0.3,4,10,1.0,6,cd
0.26484244124591677,4,0.3,4,15,1.0,5,cd
0.2618028248661856,4,0.3,4,18,2.0,7,cd
0.26511666867384553,4,0.3,4,25,2.0,6,cd
0.2546075127007597,4,0.3,4,26,2.0,7,cd
0.2656933229551063,4,0.3,4,27,2.0,7,cd
0.26845175146830424,4,0.3,4,28,1.0,5,cd
0.2523114992780809,4,0.3,4,29,1.0,5,cd
0.26096286273888963,4,0.3,4,30,1.0,7,cd
0.26039927357233184,4,0.3,4,32,1.0,6,cd
0.262679342543657,4,0.3,4,34,1.0,7,cd
0.24760838291842913,4,0.3,4,36,2.0,7,cd
0.2673800599172725,4,0.3,4,38,0.5,6,cd
0.2627294076559885,4,0.3,4,41,1.0,6,cd
0.2672225471914211,4,0.3,4,46,1.0,5,cd
0.25809431893230655,4,0.3,4,48,1.0,5,cd
0.2666855708122767,4,0.3,4,48,1.0,7,cd
0.26403035652097206,4,0.3,4,49,2.0,7,cd
0.26468117826039983,4,0.3,4,50,1.0,5,cd
0.2558756867338694,4,0.5,2,1,2.0,7,cd
0.25816704363057436,4,0.5,2,2,1.0,6,cd
0.25655143088045573,4,0.5,2,3,1.0,5,cd
0.26842698697381534,4,0.5,2,3,2.0,5,cd
0.26676871202236746,4,0.5,2,4,0.5,7,cd
0.2671276405300805,4,0.5,2,9,1.0,6,cd
0.24529273901234758,4,0.5,2,9,2.0,6,cd
0.25105769488829677,4,0.5,2,11,1.0,7,cd
0.26501742052186883,4,0.5,2,16,1.0,6,cd
0.2425327156736361,4,0.5,2,16,2.0,6,cd
0.23133303876731667,4,0.5,2,17,2.0,6,cd
0.25815040617511925,4,0.5,2,19,1.0,5,cd
0.2669703856255659,4,0.5,2,19,1.0,6,cd
0.25738944572750005,4,0.5,2,25,1.0,6,cd
0.25792796929266737,4,0.5,2,27,2.0,6,cd
0.26651346898367156,4,0.5,2,28,2.0,6,cd
0.2636129436060759,4,0.5,2,29,2.0,5,cd
0.2685117651344076,4,0.5,2,30,1.0,6,cd
0.2524244169459358,4,0.5,2,33,1.0,7,cd
0.26121163939608927,4,0.5,2,36,2.0,7,cd
0.2561389010735604,4,0.5,2,38,2.0,6,cd
0.2675452451918117,4,0.5,2,39,0.5,5,cd
0.25886855315322516,4,0.5,2,42,1.0,6,cd
0.258057586706102,4,0.5,2,43,1.0,6,cd
0.2642498035128544,4,0.5,2,45,1.0,6,cd
0.2696410793385391,4,0.5,2,48,2.0,5,cd
0.25457010750445236,4,0.5,2,49,1.0,6,cd
0.2647063707011114,4,0.5,2,50,2.0,7,cd
0.24957316899213647,4,0.5,3,1,2.0,7,cd
0.26565816256757635,4,0.5,3,2,1.0,6,cd
0.2669383690726151,4,0.5,3,2,2.0,6,cd
0.26525647608512615,4,0.5,3,3,1.0,5,cd
0.26638722749120713,4,0.5,3,3,2.0,5,cd
0.24575184654885196,4,0.5,3,6,0.5,6,cd
0.26310181185667886,4,0.5,3,8,0.5,7,cd
0.2673457109844715,4,0.5,3,9,2.0,5,cd
0.2697035994002078,4,0.5,3,9,2.0,6,cd
0.24916282572639595,4,0.5,3,11,1.0,7,cd
0.2647747670149671,4,0.5,3,11,2.0,6,cd
0.2628661989897778,4,0.5,3,16,1.0,6,cd
0.24303426318671545,4,0.5,3,17,2.0,6,cd
0.2642768425847396,4,0.5,3,19,1.0,6,cd
0.26379980857077656,4,0.5,3,19,1.0,7,cd
0.2692165105093198,4,0.5,3,20,2.0,7,cd
0.2466100717108251,4,0.5,3,25,1.0,6,cd
0.25354011421651307,4,0.5,3,27,2.0,6,cd
0.25888443846291376,4,0.5,3,28,2.0,6,cd
0.2586626023025064,4,0.5,3,29,2.0,5,cd
0.26439175480612487,4,0.5,3,30,1.0,5,cd
0.2657193215528069,4,0.5,3,30,1.0,6,cd
0.2698400140109404,4,0.5,3,36,1.0,7,cd
0.2453724686688286,4,0.5,3,38,2.0,6,cd
0.2567402766222644,4,0.5,3,42,1.0,6,cd
0.26349787944267133,4,0.5,4,2,1.0,6,cd
0.2519261358051154,4,0.5,4,3,2.0,5,cd
0.2666104601932598,4,0.5,4,4,0.5,7,cd
0.25469586085209,4,0.5,4,5,2.0,6,cd
0.26948486611326683,4,0.5,4,6,0.5,6,cd
0.26716615874709887,4,0.5,4,8,0.5,7,cd
0.2679909321859119,4,0.5,4,9,2.0,5,cd
0.26760421490317904,4,0.5,4,10,1.0,7,cd
0.26003521935814167,4,0.5,4,11,1.0,7,cd
0.25858230827460466,4,0.5,4,11,2.0,6,cd
0.2532394179059549,4,0.5,4,12,1.0,6,cd
0.2622114406334382,4,0.5,4,16,2.0,6,cd
0.2640602377529378,4,0.5,4,16,2.0,7,cd
0.25023953061836257,4,0.5,4,17,2.0,6,cd
0.26565478612727655,4,0.5,4,19,1.0,5,cd
0.26575130644097716,4,0.5,4,19,1.0,6,cd
0.2697490565375632,4,0.5,4,26,1.0,6,cd
0.2505923362669493,4,0.5,4,27,2.0,6,cd
0.2593586341070038,4,0.5,4,28,2.0,6,cd
0.2583360305600213,4,0.5,4,29,1.0,7,cd
0.2579973405456297,4,0.5,4,29,2.0,5,cd
0.24464191307075767,4,0.5,4,30,2.0,6,cd
0.2495437033329554,4,0.5,4,38,2.0,6,cd
0.23031741461916289,4,0.5,4,42,1.0,6,cd
0.25757907578370753,4,0.5,4,42,2.0,6,cd
0.264431077016796,4,0.5,4,43,1.0,6,cd
0.26123403944758805,4,0.5,4,47,1.0,5,cd
0.26154290100202676,4,0.5,4,48,1.0,7,cd
0.26008294093206796,4,0.5,4,48,2.0,5,cd
0.23835706004236593,4,0.5,4,50,2.0,5,cd
0.2605318732675895,4,0.5,4,50,2.0,7,cd
0.266611808831719,4,0.7,2,1,2.0,7,cd
0.26764666963844613,4,0.7,2,2,1.0,6,cd
0.2555678780255785,4,0.7,2,2,2.0,6,cd
0.26742697327464876,4,0.7,2,3,1.0,6,cd
0.2679683138951957,4,0.7,2,4,2.0,6,cd
0.26504735512421557,4,0.7,2,5,2.0,6,cd
0.25246074141135616,4,0.7,2,6,2.0,7,cd
0.25720349626248545,4,0.7,2,7,1.0,7,cd
0.25988286632747837,4,0.7,2,7,2.0,7,cd
0.2679349353181732,4,0.7,2,9,2.0,5,cd
0.2534693222685953,4,0.7,2,9,2.0,6,cd
0.2517188573515638,4,0.7,2,11,1.0,7,cd
0.25799828395119234,4,0.7,2,11,2.0,6,cd
0.23858067082351694,4,0.7,2,12,2.0,6,cd
0.266280196813737,4,0.7,2,16,1.0,6,cd
0.25786621070011834,4,0.7,2,17,1.0,6,cd
0.26699552305835733,4,0.7,2,17,2.0,5,cd
0.26137096437153956,4,0.7,2,18,2.0,6,cd
0.26992880345890546,4,0.7,2,19,1.0,6,cd
0.2673914239048315,4,0.7,2,19,2.0,7,cd
0.26584145335909465,4,0.7,2,22,2.0,6,cd
0.25980643480387927,4,0.7,2,23,2.0,6,cd
0.2636730530477876,4,0.7,2,25,1.0,6,cd
0.26758525225372143,4,0.7,2,27,2.0,6,cd
0.2571737374626224,4,0.7,2,29,1.0,7,cd
0.26876187604472906,4,0.7,2,29,2.0,6,cd
0.266286403460766,4,0.7,2,30,2.0,6,cd
0.262546445081958,4,0.7,2,30,2.0,7,cd
0.2612904688321341,4,0.7,2,32,1.0,6,cd
0.2686772002556348,4,0.7,2,32,1.0,7,cd
0.26545924916661573,4,0.7,2,36,2.0,6,cd
0.2688757973496773,4,0.7,2,37,2.0,6,cd
0.2605246010904427,4,0.7,2,38,2.0,6,cd
0.26453162152918896,4,0.7,2,39,1.0,7,cd
0.2664586906073333,4,0.7,2,41,2.0,6,cd
0.26885734918842125,4,0.7,2,42,2.0,6,cd
0.2620389708317705,4,0.7,2,43,2.0,6,cd
0.2522326468019219,4,0.7,2,49,2.0,6,cd
0.2573634593357588,4,0.7,3,2,1.0,6,cd
0.2619728480263993,4,0.7,3,2,2.0,6,cd
0.2459146189323132,4,0.7,3,3,1.0,6,cd
0.26211702468311504,4,0.7,3,4,2.0,6,cd
