,nmf__alpha,nmf__n_components,nmf__solver,rf__max_depth,rf__max_features,rf__min_samples_split,rf__n_estimators,rf__random_state
0.2659937760231522,1,5,cd,4,0.3,2,30,5
0.26327818136931175,1,5,cd,4,0.3,2,30,7
0.2688121796616343,1,5,cd,4,0.3,2,30,8
0.2689741738843469,1,5,cd,4,0.3,2,30,12
0.2575048822227635,1,5,cd,4,0.3,2,30,13
0.2627400114585634,1,5,cd,4,0.3,2,30,14
0.26811587443551466,1,5,cd,4,0.3,2,30,15
0.2635361497416134,1,5,cd,4,0.3,2,30,17
0.2596716014167528,1,5,cd,4,0.3,2,30,18
0.26550435204547435,1,5,cd,4,0.3,2,30,24
0.26633632015881253,1,5,cd,4,0.3,2,30,29
0.2694306633770248,1,5,cd,4,0.3,2,30,30
0.25758084444259116,1,5,cd,4,0.3,2,30,34
0.26772606405774085,1,5,cd,4,0.3,2,30,35
0.2672886945135578,1,5,cd,4,0.3,2,30,36
0.26846395029594694,1,5,cd,4,0.3,2,30,37
0.26993151534560944,1,5,cd,4,0.3,2,30,40
0.26745992590535816,1,5,cd,4,0.3,2,30,42
0.2556588939610336,1,5,cd,4,0.3,2,30,43
0.26677699134847255,1,5,cd,4,0.3,2,30,47
0.2628983213850294,1,5,cd,4,0.3,2,30,49
0.2697965380826898,1,5,cd,4,0.3,2,50,1
0.26572036897718326,1,5,cd,4,0.3,2,50,4
0.26341608051603776,1,5,cd,4,0.3,2,50,5
0.26779045519906436,1,5,cd,4,0.3,2,50,6
0.2647455646251966,1,5,cd,4,0.3,2,50,7
0.26879442329460784,1,5,cd,4,0.3,2,50,8
0.2629287382282149,1,5,cd,4,0.3,2,50,9
0.2686229775402993,1,5,cd,4,0.3,2,50,12
0.26160403369028884,1,5,cd,4,0.3,2,50,13
0.26623332772354585,1,5,cd,4,0.3,2,50,14
0.2695293573434138,1,5,cd,4,0.3,2,50,15
0.26978642686844206,1,5,cd,4,0.3,2,50,16
0.26285690402618095,1,5,cd,4,0.3,2,50,17
