Country,Data_year,Region,KOF_Globalis,Work_rightCIRI,Trade_open,FDI,VDEM_Libdem,Armedcon,Pol_terror,Poverty,Cereal_yield,Stunting_u5s,Undernourish,Wasting_u5s,Life_expect,Maternal_mort,Neonatal_mort,Wellbeing,Tuberculosis,Infant_mort,Infant_vaccines,Literacy_15_24yrs,Primary_school,Yrs_of_school,Lack_contraception,F_school,M_school,F_parliam,Freshwater,Sanitation,Water_acc,Co2_fuel,Electric_acc,Fuel_acc,Growth_rate,ATMs,Child_lab,Unemploy,Infrastruct,Internet_use,Broadband,Inequality,Piped_water,Treated_waste,Climate_chg_vuln,Co2_energy_pc,Ocean_biodiv,Ocean_clean,Ocean_protect,Ocean_fisheries,Fish_overexploit,Terrestrial_protect,Forest_change,Species_survival,CPI,Gov_efficien,Homicides,Prison_pop,Property_rights,Safe_night,Regist_birth,Masskill_ongo,Masskill_ever,GDPpc_growth,Minority_rule,Ethnic_fract,Battle_deaths,Pol_cand_restr,Party_ban,Relig_freeMK,Polkill_apprvd,Freemv_M,Freemv_F,Free_discuss,Social_ineq,Soc_powerdist,Trade_openMK,Democ,Sexwrk_size,Sexwrk_HIV,Sexwrk_condom,Sexwrk_Syphilis,GDPpc,AIDS_death,AIDS_Orph,Physrights_indx,Extrajud_kill,Pol_impris,Torture,Polrights_indx,Free_assem,Freemv_foreign,Freemv_dom,Free_speech,Free_polit,Relig_freeCIRI,Econ_right_F,Pol_right_F,Indep_judic,Rape_prev,Rape_report,Rape_enclave,Rape_compl,Phys_secF,Gender_equal,Pop_dens,Urban_population,Rural_population,SLAVERY
India,2016,ASIA,61.18,1,40.35,1.95,0.47,1,4,21.25,2.981100082,38.7,15.19999981,15.1,58,174,27.7,4.565000057,167,47.70000076,83,81.13085969,93.08864,11.69659,28.03250145,49.79020979,34.67741762,12,33.88,39.59999847,94.09999847,1.565647256,78.69999695,42.43333,0.181687605,18.07498434,11.80000019,3.480498314,3.960446753,18,3.2,33.90000153,53.7647421,10.48760328,0.25,1.662873507,85.57,51.27,4.166666667,49,23.59160362,5.535055351,2.664106567,0.686575009,38,3.992122169,3.5,30,3.764837477,68.92233283,83.6,1,1,0.046961763,0,0.42,3.688879454,1,4,3,0,1,0,0.746606609,0,1,-2.701209077,1,657800,1.6,90.8,0.1,1670,19000,58500,0,0,0,0,7,0,2,1,1,2,0,1,3,0,1,4,2,14,4,5,445.4843414,439386539,884784815,1.4
India,2018,ASIA,56.77,1,40.35,1.95,0.47,1,4,13.225,2.981100082,38.7,14.84999991,15.1,58,174,26.55,4.565000057,167,45.35000038,83,83.61542985,93.08864,11.69659,28.03250145,54.1451049,34.67741762,12,33.88,39.59999847,94.09999847,1.565647256,78.94999848,42.43333,0.181687605,18.07498434,11.8000001,3.490249157,4.280223377,23.75,9.8,33.90000153,53.7647421,10.48760328,0.275,1.662873507,85.57,51.27,4.166666667,49,23.59160362,5.535055351,2.664106567,0.686575009,39,3.992122169,3.5,30,4.082418739,70.96116642,77.75,1,1,0.046961763,0,0.42,3.688879454,1,4,3,0,1,0,0.746606609,0,1,-2.701209077,1,657800,1.6,90.8,0.1,1670,1000,29000,0,0,0,0,7,0,2,1,1,2,0,1,3,0,1,4,2,14,4,5,450.211207,439386539,884784815,0.61
Indonesia,2016,ASIA,62.97,0,37.44,0.49,0.48,0,3,15.89999962,5.095499992,36.4,7.599999905,13.5,62,126,13.5,5.399000168,399,27.20000076,77,98.77800124,92.21828,12.98776,20.29580937,86.03949244,89.06439895,17.10000038,5.612,60.79999924,87.40000153,1.969387755,96,45.29918,0.110376791,49.62922175,6.900000095,5.825447083,3.816054923,17.14,24.2,38.1407547,32.5251242,0.0175,0.08,2.303781033,76.43,50.15,12.78195489,85,22.00295678,3.553299492,11.49730216,0.767806212,36,3.922269861,0.6,59,4.316818563,78.99058221,66.6,0,1,0.034511952,0,0.74,0,0,4,3,0,1,0,0.793592389,0,1,-2.730776593,1,226800,5.3,67.8,3.2,3400,38000,250000,3,1,0,0,5,0,2,1,1,1,0,1,2,0,0,4,1,11,4,5,144.3798617,140973624,120141832,0.29
Indonesia,2018,ASIA,62.04,0,37.44,0.49,0.48,0,3,10.59999981,5.095499992,36.4,7.749999953,13.5,62,126,13.6,5.399000168,399,26.80000038,77,99.23900062,92.21828,12.98776,20.29580937,86.56974622,82.67254111,17.10000038,5.612,60.79999924,87.40000153,1.969387755,96.5,45.29918,0.110376791,49.62922175,6.900000048,5.062723542,3.958027462,21.27,29.05,38.1407547,32.5251242,0.0175,0.09,2.303781033,76.43,50.15,12.78195489,85,22.00295678,3.553299492,11.49730216,0.767806212,36.5,3.922269861,0.6,59,4.458409282,80.49529111,69.55,0,1,0.034511952,0,0.74,0,0,4,3,0,1,0,0.793592389,0,1,-2.730776593,1,226800,5.3,67.8,3.2,3400,38000,280000,3,1,0,0,5,0,2,1,1,1,0,1,2,0,0,4,1,11,3,5,146.0660259,140973624,120141832,0.47
Jordan,2018,MIDDLE EAST AND NORTH AFRICA,74.31,0,91.32,4.02,0.23,1,3,0.064999998,1.45539999,7.8,4.6,2.4,64,58,10.6,5.191999912,5.5,17.74999981,98,99.10286006,97.11111,13.50864,42.0206659,89.55002744,21.85430377,12,92.44,98.59999847,96.90000153,1.317919075,99.75,95,-3.005986017,32.49915078,1.650000012,13.87467642,4.315791557,53.15,59.95,35.43000031,93.2070387,42.30464831,0.075,3.601147175,83,60.14,0,5,36.57,0,0.235717328,0.956006197,50.5,4.158718249,2,95,4.814973336,79.64899676,99.1,0,1,0.009735802,0,0.59,0,1,4,2,0,1,0,0.728765238,0,1,-1.581440911,0,300,0.5,83.1,1.3,3920,100,35500,6,0,2,0,10,1,2,2,1,2,2,1,2,0,1,4,0,11,4,3,109.8641474,8558068,897734,0.19
Latvia,2018,EUROPE,75.42,1,119.19,0.88,0.74,0,1,0.35,3.486000061,2.6,1.834999979,0.7,65,18,3.8,5.09800005,49,6.250000048,92,99.81771566,96.49659,15.24266,24.6260069,104.2947253,80.30075417,18,1.146,87.80000305,99.30000305,1.112903226,100,94.77204,2.259211356,63.20170456,0,9.812847137,4.572061031,77.815,69.2,34.81000137,96.9621167,49.625,0.1,3.786801338,90.73,83.28,75,77,60.32339702,50.76923077,13.17843089,0.987943851,56.5,3.456399357,4.7,304,4.359332141,61.80192671,100,0,0,0.030366065,0,0.59,0,1,4,4,0,1,1,0.963538266,0,0,-1.52074125,1,6700,0,85.47,24.5,14570,150,6350,6,2,1,2,11,1,2,2,1,2,2,1,2,2,1,3,0,7,2,0,31.24862496,1332897,626640,0.2
Lebanon,2018,MIDDLE EAST AND NORTH AFRICA,65.11,0,72.61,5.18,0.32,0,2.5,0,3.38380003,16.5,5.2,6.6,70,15,4.75,4.839000225,16,8.200000096,79,98.95739443,93.44093,13.7537,46.36174636,93.91829292,79.78883724,3.099999905,24.34,80.69999695,99,1.131868132,100,95,-2.049340044,44.33682606,1.899999988,6.679112339,2.328030351,75.4,49.3,27.81999969,77.1184695,15.08356164,0.08,4.66831255,88.77,64.43,0,47,17.82,0,4.177742024,0.916591604,28,2.686931697,2.2,118,3.982844733,56.23502344,99.5,0,0,0.010142187,0,0.13,4.262679877,1,4,4,0,1,0,0.739449053,0,1,-2.118915902,1,4300,0,79.2,1.2,7980,100,35500,2,0,0,0,5,0,0,1,0,1,0,1,2,2,1,4,0,12,3,4,662.7588466,5301846,704822,0.17
Malawi,2018,SUBSAHARAN AFRICA,46.24,1,77.91,5.99,0.4,0,2.5,68.75500183,2.187799931,42.4,23.30000038,3.8,51,634,22.45,4.291999817,227,59.55,85,72.51978219,96.90134,10.75378,27.53623188,70.85440613,98.93475974,16.70000076,7.853,41,90.19999695,0.977011494,10.8500001,5,-5.928134039,4.852664356,39.29999962,6.371317625,2.626693421,7.715,11.05,43.90999985,33.2039737,0,0.41,0.079231486,82.42,49.49,6.666666667,2,2.185535959,60,7.00469593,0.80521062,31,3.245054544,1.8,76,3.928059483,41.74186086,34.75,0,1,0.025972512,0,0.67,0,0,4,4,0,1,0,0.693641386,0,1,-2.192473833,1,36400,55,65,6,320,13500,530000,5,1,2,0,7,1,2,2,0,1,0,1,1,0,4,4,0,14,4,5,187.4660798,2986195,15105380,0.75
Mauritania,2016,SUBSAHARAN AFRICA,50.6,1,100.53,5.72,0.16,0,3,10.90999985,1.205900073,22,5.599999905,11.6,54,602,35.7,4.43599987,111,84.69999695,84,56.12243472,73.07767,8.50027,72.35041064,56.54885655,45.07042027,25.20000076,11.82,40,57.90000153,1.309626437,21.76255989,42.02726,-2.614189164,7.725474229,14.60000038,31.08639717,2.402306106,10.7,5.4,40.45999908,40.3669041,0,0.25,0.627225459,89.81,75.39,33.33333333,64,9.61,10,100.7343376,0.97692356,31,2.653240592,5,45,2.479041752,44.92884214,58.8,0,0,0.021973092,1,0.62,0,1,3,0,0,1,0,0.635877504,0,1,-1.641116488,0,300,4,87.56,24.5,1130,500,8100,2,1,0,0,5,1,0,2,0,1,0,1,2,0,3,4,0,11,4,5,4.039520714,2234895,2066123,1.06
Mauritania,2018,SUBSAHARAN AFRICA,51.1,1,100.53,5.72,0.16,0,3,8.554999925,1.205900073,22,5.449999953,11.6,54,602,34.7,4.43599987,111,83.04999848,84,56.11121736,73.07767,8.50027,72.35041064,58.82442828,45.07042027,25.20000076,11.82,40,57.90000153,3.74,30.28127995,42.02726,-2.614189164,7.725474229,26.10000019,20.64319859,1.951153053,14.35,17.35,40.45999908,40.3669041,0,0.275,0.627225459,89.81,75.39,33.33333333,64,9.61,10,100.7343376,0.97692356,29.5,2.653240592,5,45,2.589520876,45.46442107,62.2,0,0,0.021973092,1,0.62,0,1,3,0,0,1,0,0.635877504,0,1,-1.641116488,0,300,4,87.56,24.5,1130,500,8150,2,1,0,0,5,1,0,2,0,1,0,1,2,0,3,4,0,11,4,5,4.155842146,2234895,2066123,2.15
